Make,Model,Price,Year,Engine Size,Mileage,Fuel Type,Transmission,Color,Body Type,Wheel Drive,Doors,Seats,Engine Power,Top Speed,Acceleration,CO2 Rating,e_Fuel_Type,e_Model,e_Transmission,e_Color,e_Body_Type,e_Wheel_Drive
nissan,Juke,16430.0,2020,1000.0,17255.0,Petrol,Manual,Black,SUV,4X2,5.0,5.0,116.0,112.0,11.0,140.0,3,10,2,7,9,0
nissan,Qashqai,14000.0,2018,1500.0,24369.0,Diesel,Manual,White,SUV,4X2,5.0,5.0,109.0,113.0,11.0,99.0,0,37,2,66,9,0
nissan,Juke,16950.0,2020,1000.0,34184.0,Petrol,Semi-Auto,Grey,SUV,4X2,5.0,5.0,116.0,112.0,11.0,145.0,3,10,4,26,9,0
nissan,Juke,15440.0,2021,1000.0,36006.0,Petrol,Manual,Blue,SUV,4X2,5.0,5.0,113.0,112.0,11.0,139.0,3,10,2,11,9,0
nissan,Qashqai,30250.0,2023,1300.0,4000.0,Hybrid,Manual,White,SUV,4X2,5.0,5.0,138.0,122.0,11.0,145.0,1,37,2,66,9,0
nissan,Qashqai,31500.0,2023,1500.0,4000.0,Hybrid,Semi-Auto,Blue,SUV,4X2,5.0,5.0,188.0,105.0,11.0,118.0,1,37,4,11,9,0
nissan,Qashqai,15290.0,2017,1600.0,21412.0,Petrol,Manual,Red,SUV,4X2,5.0,5.0,161.0,124.0,11.0,134.0,3,37,2,56,9,0
nissan,Qashqai,20430.0,2020,1300.0,16272.0,Petrol,Semi-Auto,Black,SUV,4X2,5.0,5.0,158.0,123.0,11.0,161.0,3,37,4,7,9,0
nissan,X Trail,17395.0,2017,2000.0,49000.0,Diesel,Auto,Grey,SUV,4X2,5.0,5.0,174.0,124.0,11.0,152.0,0,41,0,26,9,0
nissan,Juke,13270.0,2019,1000.0,26954.0,Petrol,Manual,Red,SUV,4X2,5.0,5.0,116.0,112.0,11.0,112.0,3,10,2,56,9,0
nissan,Juke,18995.0,2022,999.0,11703.0,Petrol,Auto,Grey,SUV,4X2,5.0,5.0,113.0,112.0,11.0,137.0,3,10,0,26,9,0
nissan,Navara,9990.0,2011,25000.0,97000.0,Diesel,Manual,Blue,Other,4X4,5.0,5.0,188.0,112.0,11.1,133.0,0,23,2,11,7,1
nissan,Qashqai,12580.0,2018,1500.0,89497.0,Diesel,Manual,Black,Hatchback,4X2,5.0,5.0,109.0,113.0,11.0,99.0,0,37,2,7,5,0
nissan,Qashqai,11940.0,2017,1500.0,57839.0,Diesel,Manual,Silver,Hatchback,4X2,5.0,5.0,109.0,113.0,11.0,99.0,0,37,2,58,5,0
nissan,Qashqai,9240.0,2016,1500.0,88641.0,Diesel,Manual,Black,Hatchback,4X2,5.0,5.0,109.0,113.0,12.4,99.0,0,37,2,7,5,0
nissan,Qashqai,5999.0,2012,1600.0,85260.0,Petrol,Manual,Red,Hatchback,4X2,5.0,5.0,115.0,113.0,11.9,139.0,3,37,2,56,5,0
nissan,Qashqai,16999.0,2020,1300.0,8000.0,Petrol,Semi-Auto,Grey,Hatchback,4X2,5.0,5.0,158.0,123.0,9.9,156.0,3,37,4,26,5,0
nissan,Navara 2.3 DCI 190 BHP N-GUARD EDITION ( CANOPY / NO VAT ! ),28989.0,2020,2300.0,23000.0,Diesel,Manual,Black,Van,4X4,5.0,5.0,188.0,114.0,11.2,133.0,0,25,2,7,12,1
nissan,NV250,12588.0,2019,1500.0,56370.0,Diesel,Manual,White,van,4X2,5.0,5.0,94.0,100.0,11.0,133.0,0,19,2,66,13,0
nissan,Micra,16490.0,2020,999.0,1600.0,Petrol,Auto,Red,Hatchback,4X2,5.0,5.0,99.0,110.0,13.0,140.0,3,12,0,56,5,0
nissan,Qashqai,9450.0,2016,1598.0,42474.0,Diesel,Manual,White,SUV,4X4,5.0,5.0,129.0,118.0,10.5,133.0,0,37,2,66,9,1
nissan,Juke,21000.0,2021,999.0,18123.0,Petrol,Auto,White,SUV,4X2,5.0,5.0,113.0,112.0,11.0,142.0,3,10,0,66,9,0
nissan,Qashqai,10800.0,2017,1461.0,53861.0,Diesel,Manual,Red,SUV,4X2,5.0,5.0,109.0,113.0,11.0,99.0,0,37,2,56,9,0
nissan,Qashqai,9999.0,2016,1500.0,81794.0,Diesel,Manual,Grey,Hatchback,4X2,5.0,5.0,109.0,113.0,12.4,103.0,0,37,2,26,5,0
nissan,NV200 1.5 dCi SE SWB Euro 5 6dr NO VAT,3985.0,2013,1461.0,134354.0,Diesel,Manual,White,van,4X2,5.0,5.0,109.0,99.0,15.0,133.0,0,18,2,66,13,0
nissan,Micra,14875.0,2021,1000.0,26962.0,Petrol,Auto,White,Hatchback,4X2,5.0,5.0,91.0,106.0,11.0,145.0,3,12,0,66,5,0
nissan,Qashqai,17975.0,2020,1300.0,19549.0,Petrol,Manual,Black,SUV,4X2,5.0,5.0,140.0,120.0,11.0,161.0,3,37,2,7,9,0
nissan,Qashqai,16775.0,2019,1300.0,16062.0,Petrol,Manual,Grey,SUV,4X2,5.0,5.0,140.0,120.0,10.9,130.0,3,37,2,26,9,0
nissan,Qashqai,19975.0,2020,1300.0,1793.0,Petrol,Manual,Black,SUV,4X2,5.0,5.0,140.0,120.0,11.0,161.0,3,37,2,7,9,0
nissan,Qashqai,21018.0,2021,1300.0,11738.0,Petrol,Semi-Auto,White,SUV,4X2,5.0,5.0,155.0,124.0,11.0,142.0,3,37,4,66,9,0
nissan,Qashqai,17490.0,2020,1300.0,25514.0,Petrol,Manual,Black,SUV,4X2,5.0,5.0,158.0,124.0,8.9,130.0,3,37,2,7,9,0
nissan,Juke,17590.0,2021,1000.0,24580.0,Petrol,Manual,Grey,SUV,4X2,5.0,5.0,113.0,112.0,11.0,139.0,3,10,2,26,9,0
nissan,Qashqai,21050.0,2022,1300.0,18424.0,Hybrid,Manual,Blue,SUV,4X2,5.0,5.0,138.0,122.0,11.0,144.0,1,37,2,11,9,0
nissan,Qashqai,21430.0,2020,1300.0,6136.0,Petrol,Semi-Auto,Grey,SUV,4X2,5.0,5.0,158.0,123.0,8.9,160.0,3,37,4,26,9,0
nissan,Qashqai,10290.0,2017,1200.0,60991.0,Petrol,Manual,Red,SUV,4X2,5.0,5.0,114.0,115.0,11.3,129.0,3,37,2,56,9,0
nissan,Qashqai,18595.0,2019,1300.0,28033.0,Petrol,Semi-Auto,Black,SUV,4X2,5.0,5.0,158.0,123.0,8.9,131.0,3,37,4,7,9,0
nissan,Juke,16825.0,2020,1000.0,8825.0,Petrol,Semi-Auto,Blue,SUV,4X2,5.0,5.0,116.0,112.0,11.0,138.0,3,10,4,11,9,0
nissan,Juke,19960.0,2022,1000.0,17904.0,Petrol,Manual,Grey,SUV,4X2,5.0,5.0,113.0,112.0,11.0,134.0,3,10,2,26,9,0
nissan,Qashqai,28802.0,2022,1300.0,8603.0,Hybrid,Semi-Auto,Red,SUV,4X2,5.0,5.0,155.0,124.0,11.0,144.0,1,37,4,56,9,0
nissan,Navara,22788.0,2020,2300.0,54565.0,Diesel,Manual,White,Pick Up,4X4,5.0,5.0,188.0,114.0,11.2,184.0,0,23,2,66,8,1
nissan,Micra,10250.0,2017,900.0,13880.0,Petrol,Manual,Orange,Hatchback,4X2,5.0,5.0,88.0,109.0,11.0,99.0,3,12,2,45,5,0
nissan,Qashqai,14700.0,2018,1600.0,50470.0,Petrol,Manual,Blue,SUV,4X2,5.0,5.0,161.0,124.0,11.0,134.0,3,37,2,11,9,0
nissan,Juke,17914.0,2022,1000.0,7916.0,Petrol,Manual,Black,SUV,4X2,5.0,5.0,113.0,112.0,11.0,133.0,3,10,2,7,9,0
nissan,Qashqai,31182.0,2022,1500.0,14458.0,Hybrid,Semi-Auto,Blue,SUV,4X2,5.0,5.0,188.0,105.0,11.0,122.0,1,37,4,11,9,0
nissan,Qashqai,24906.0,2022,1300.0,6212.0,Hybrid,Manual,Grey,SUV,4X2,5.0,5.0,138.0,122.0,11.0,142.0,1,37,2,26,9,0
nissan,Juke,18406.0,2020,1000.0,7679.0,Petrol,Manual,White,SUV,4X2,5.0,5.0,113.0,112.0,11.0,141.0,3,10,2,66,9,0
nissan,Juke,12993.0,2019,1598.0,25000.0,Petrol,Manual,Blue,Hatchback,4X2,5.0,5.0,111.0,111.0,12.5,157.0,3,10,2,11,5,0
nissan,Pulsar,7995.0,2015,1461.0,35000.0,Diesel,Manual,Black,Hatchback,4X2,5.0,5.0,110.0,118.0,11.5,94.0,0,36,2,7,5,0
nissan,Qashqai,20740.0,2021,1332.0,16478.0,Hybrid,Manual,Grey,SUV,4X2,5.0,5.0,138.0,122.0,11.0,145.0,1,37,2,26,9,0
nissan,Juke,13500.0,2020,999.0,39892.0,Petrol,Manual,Black,Hatchback,4X2,5.0,5.0,116.0,112.0,11.0,112.0,3,10,2,7,5,0
nissan,Navara,9950.0,2014,2488.0,90000.0,Diesel,Auto,Grey,Van,4X4,5.0,5.0,188.0,111.0,10.7,133.0,0,23,0,26,12,1
nissan,Qashqai,8888.0,2015,1461.0,65000.0,Diesel,Manual,Blue,Hatchback,4X2,5.0,5.0,109.0,113.0,12.4,103.0,0,37,2,11,5,0
nissan,Qashqai,5995.0,2014,1197.0,101482.0,Petrol,Manual,Black,Other,4X2,5.0,5.0,114.0,114.0,11.3,129.0,3,37,2,7,7,0
nissan,Note,3995.0,2014,1461.0,108000.0,Diesel,Manual,White,MPV,4X2,5.0,5.0,88.0,111.0,11.9,92.0,0,32,2,66,6,0
nissan,Micra,2295.0,2005,1240.0,84760.0,Petrol,Auto,Silver,Hatchback,4X2,5.0,5.0,79.0,104.0,14.3,161.0,3,12,0,58,5,0
nissan,Juke,8490.0,2018,1598.0,82000.0,Petrol,Manual,Black,SUV,4X2,5.0,5.0,111.0,111.0,12.5,161.0,3,10,2,7,9,0
nissan,Juke,6990.0,2014,1461.0,77000.0,Diesel,Manual,Blue,SUV,4X2,5.0,5.0,109.0,109.0,11.0,104.0,0,10,2,11,9,0
nissan,Juke,5695.0,2012,1461.0,66509.0,Diesel,Manual,Silver,SUV,4X2,5.0,5.0,109.0,109.0,11.3,129.0,0,10,2,58,9,0
nissan,Qashqai,11995.0,2016,1461.0,41000.0,Diesel,Manual,Black,SUV,4X2,5.0,5.0,109.0,113.0,12.4,99.0,0,37,2,7,9,0
nissan,Qashqai,10500.0,2017,1197.0,46259.0,Petrol,Manual,Bronze,SUV,4X2,5.0,5.0,114.0,115.0,11.3,129.0,3,37,2,12,9,0
